Feature,SAFE total score,number of enriched nodes,number of enriched samples,SAFE enriched score,enriched abundance ratio,enriched SAFE score ratio
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii_A,53.305206579366995,62,104,38.968425121961815,0.6350323157010057,0.7310435063025427
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066365,45.019128091268826,61,113,37.72607394715366,0.7327388054848265,0.8380009908381676
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis,50.92839025119363,61,117,37.6294337709205,0.580821579213785,0.7388694907756006
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000437735,44.676057747639696,69,111,36.654627654079924,0.6223543496087429,0.8204534934825677
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae,46.83315325653558,59,111,36.44230464204468,0.5723268922504803,0.7781304932090847
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I ramulus,41.61032914879321,58,97,35.070493674389326,0.7711345434677508,0.8428314409381797
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335,38.32307326629791,55,96,34.756981244506704,0.6095021914266098,0.9069466063691896
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp000431575,40.61213630422825,57,112,34.59201787105416,0.7796990919588602,0.8517655316608568
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter sp900557165,41.64727241627946,55,138,34.40898551725871,0.7333937434520827,0.8262002172273978
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955,42.92154717223399,58,118,34.22348414167465,0.8047736419812637,0.797349732160025
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens,44.37088774997989,59,98,34.12755059911099,0.5261878695995391,0.7691428395891505
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,43.753240721343595,51,82,34.06756105504291,0.5570265340633174,0.7786294339204035
country_Germany,48.96670534331513,61,102,33.89555362684716,0.4782608695652174,0.6922163414752702
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135,41.38732670958285,55,135,33.85622350793522,0.8596702744412235,0.8180335914302028
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__Angelakisella sp900547385,38.52317982421098,51,131,33.831834338432685,0.8361051099450213,0.8782201908776522
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,35.392365956401484,51,131,33.47383653463122,0.9791952683562578,0.94579256373723
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835,37.66875018764581,51,121,33.33498362397298,0.9582331722867992,0.884950614446078
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__CAG-110 sp000434635,36.215574676561445,53,133,33.19847699038838,1.0000000000000002,0.9166906030590833
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A ihumii,38.537361715463966,57,92,33.18720093721013,0.8071611291447969,0.8611695108306554
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Clostridium_A;s__Clostridium_A leptum,41.50297561502637,53,93,33.170402156671955,0.6612308202221407,0.7992294929489931
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__Paraprevotella clara,37.08680391271778,55,94,32.616440893590514,0.9741959528916655,0.87946216585155
country_Sweden,56.19758092308406,62,119,32.4273706127934,0.3155339805825243,0.5770243145728242
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium ramosum,42.095736932069165,53,100,32.39493879936011,0.5562121230774795,0.7695539064118666
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Bariatricus comes,43.866088728785925,58,124,32.22781110886832,0.857315498195153,0.7346862244346781
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii,44.12676844964403,56,150,32.13963036379486,0.9004267345320865,0.7283477012478607
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__,39.206061657760074,56,149,32.031296689607046,0.9656354969127623,0.8169985796894516
d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1750;g__UBA7102;s__,34.62302738143231,48,116,31.980259767091496,1.0,0.9236702329572116
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B gnavus,47.13625220514388,52,114,31.979552625287358,0.4606859202923469,0.6784492005454242
country_Washington,52.91674872518043,61,113,31.94409124852114,0.46153846153846156,0.60366693000019
